"ISO","SPID","adm1_name","vac","pop"
"NGA","NGA_37","Yobe",0.19910459074268,2998996.25676613
"NGA","NGA_38","Zamfara",0.362453255263748,4140903.99565126
"NGA","NGA_4","Anambra",0.359274830843178,5053016.21010007
"NGA","NGA_5","Bauchi",0.416876873778759,5965234.62664249
"NGA","NGA_6","Bayelsa",0.196103097877317,2062593.53917062
"NGA","NGA_7","Benue",0.524495634280925,5334522.22869076
"NGA","NGA_8","Borno",0.360672850012399,5048311.55660784
"NGA","NGA_9","Cross River",0.900395565932304,3693778.29344718
"RWA","RWA_1","Butare",0,1003498.87163321
"RWA","RWA_10","Ruhengeri",0,1141901.4857747
"RWA","RWA_2","Byumba",0,1644777.46900857
"RWA","RWA_3","Cyangugu",0,817067.993933165
"RWA","RWA_4","Gikongoro",0,662651.798651951
"RWA","RWA_5","Gisenyi",0,1183158.9449583
"RWA","RWA_6","Gitarama",0,1255144.70092874
"RWA","RWA_7","Kibungu",0,1276124.30660151
"RWA","RWA_8","Kibuye",0,643520.172338574
"RWA","RWA_9","Kigali",0,2223613.56382217
"SDN","SDN_1","Blue Nile",0.174355379293527,9803568.43235061
"SDN","SDN_2","Darfur",0.713052883368478,9954212.81600022
"SDN","SDN_3","Kassala",0.901264685688127,6027679.76032065
"SDN","SDN_4","Khartoum",0,7033964.19175881
"SDN","SDN_5","Kordofan",0.790526366092139,5855425.77302219
"SDN","SDN_6","Northern",0,2418052.82719708
"SEN","SEN_1","Dakar",0.630368571807797,3497345.07291271
"SEN","SEN_10","Thies",0.93674885060863,2077962.8776018
"SEN","SEN_11","Ziguinchor",0.471367890964015,649496.738608306
"SEN","SEN_2","Diourbel",0.900966856394355,1701184.53121186
"SEN","SEN_3","Fatick",0.904494933377272,1073854.98825157
"SEN","SEN_4","Kaolack",0.692271121534905,1623280.61157773
"SEN","SEN_5","Kolda",0.471367890964015,1293827.41320145
"SEN","SEN_6","Louga",0.908492984358518,1060115.65429908
"SEN","SEN_7","Matam",0.471367890964015,626118.583122461
"SEN","SEN_8","Saint-Louis",0.911832110880343,1053419.89558004
"SEN","SEN_9","Tambacounda",0.817889844974636,971129.300106874
"SLE","SLE_1","Eastern",0.881268658881458,1595526.54175126
"SLE","SLE_2","Northern",0.756555532170391,2293751.48818305
"SLE","SLE_3","Southern",0.918644802025314,1477352.02188082
"SLE","SLE_4","Western",0.881268658881458,1203514.40217107
"SOM","SOM_1","Awdal",0,511008.333707996
"SOM","SOM_10","Jubbada Hoose",0,588771.673765622
"SOM","SOM_11","Mudug",0,676881.620110423
"SOM","SOM_12","Nugaal",0,141758.503882984
"SOM","SOM_13","Sanaag",0,470020.754915963
"SOM","SOM_14","Shabeellaha Dhexe",0,768715.196041101
"SOM","SOM_15","Shabeellaha Hoose",0,1519206.83614835
"SOM","SOM_16","Sool",0,259798.944422627
"SOM","SOM_17","Togdheer",0,683319.532102227
"SOM","SOM_18","Woqooyi Galbeed",0,909544.122015471
"SOM","SOM_2","Bakool",0,325095.942756158
"SOM","SOM_3","Banaadir",0,856047.657887965
"SOM","SOM_4","Bari",0,478696.460866261
"SOM","SOM_5","Bay",0,985809.926952584
"SOM","SOM_6","Galguduud",0,556787.386731498
"SOM","SOM_7","Gedo",0,525783.729939642
"SOM","SOM_8","Hiiraan",0,478284.851426177
"SOM","SOM_9","Jubbada Dhexe",0,323086.820708822
"SSD","SSD_1","Bahr el Ghazal",0,4139284.57883335
"SSD","SSD_2","Equatoria",0.0474149231579137,4120857.06066176
"SSD","SSD_3","Upper Nile",0,4510865.37763497
"TCD","TCD_1","Batha",0.269953879726297,682897.671875482
"TCD","TCD_10","Mandoul",0.269953879726297,820733.209780418
"TCD","TCD_11","Mayo-Kebbi Est",0.269953879726297,992584.135259508
"TCD","TCD_12","Mayo-Kebbi Ouest",0.269953879726297,716553.947508895
"TCD","TCD_13","Moyen-Chari",0.269953879726297,775605.655191907
"TCD","TCD_14","Ouaddai",0.41093158956771,1331196.24065476
"TCD","TCD_15","Salamat",0.269953879726297,400633.148560001
"TCD","TCD_16","Tandjile",0.269953879726297,880413.046123029
"TCD","TCD_17","Ville de N'Djamena",0.269953879726297,1574052.35255104
"TCD","TCD_18","Wadi Fira",0.916793977931125,722510.383727394
"TCD","TCD_2","Bet",0.269953879726297,299067.916669839
